image,expected,num_allowed_detections,result,processing_time
No_Signs_time(5)_fog(25)_rain(15)_245.jpg,No_Signs,0,TN,0.0046
With_Signs_time(16)_fog(90)_rain(25)_112.jpg,With_Signs,0,FN,0.0047
No_Signs_time(18)_fog(25)_rain(20)_17.jpg,No_Signs,0,TN,0.0046
No_Signs_time(9)_fog(25)_rain(15)_46.jpg,No_Signs,0,TN,0.0110
With_Signs_time(13)_fog(0)_rain(0)_322.jpg,With_Signs,1,TP,0.0054
No_Signs_time(16)_fog(25)_rain(0)_196.jpg,No_Signs,0,TN,0.0091
No_Signs_time(9)_fog(25)_rain(0)_37.jpg,No_Signs,0,TN,0.0055
No_Signs_time(6)_fog(25)_rain(0)_276.jpg,No_Signs,0,TN,0.0047
No_Signs_time(5)_fog(25)_rain(15)_237.jpg,No_Signs,0,TN,0.0050
No_Signs_time(5)_fog(25)_rain(15)_216.jpg,No_Signs,0,TN,0.0047
No_Signs_time(8)_fog(25)_rain(15)_294.jpg,No_Signs,0,TN,0.0045
No_Signs_time(5)_fog(25)_rain(15)_248.jpg,No_Signs,0,TN,0.0052
No_Signs_time(6)_fog(25)_rain(0)_266.jpg,No_Signs,0,TN,0.0049
No_Signs_time(13)_fog(75)_rain(0)_8.jpg,No_Signs,0,TN,0.0049
With_Signs_time(16)_fog(0)_rain(0)_56.jpg,With_Signs,1,TP,0.0058
With_Signs_time(16)_fog(0)_rain(25)_76.jpg,With_Signs,0,FN,0.0049
No_Signs_time(13)_fog(75)_rain(0)_10.jpg,No_Signs,0,TN,0.0043
No_Signs_time(8)_fog(25)_rain(15)_315.jpg,No_Signs,0,TN,0.0101
No_Signs_time(5)_fog(25)_rain(15)_217.jpg,No_Signs,0,TN,0.0054
With_Signs_time(22)_fog(0)_rain(25)_135.jpg,With_Signs,0,FN,0.0048
With_Signs_time(8)_fog(90)_rain(0)_168.jpg,With_Signs,1,TP,0.0050
No_Signs_time(8)_fog(25)_rain(15)_287.jpg,No_Signs,0,TN,0.0053
No_Signs_time(13)_fog(75)_rain(0)_2.jpg,No_Signs,0,TN,0.0044
No_Signs_time(16)_fog(25)_rain(0)_209.jpg,No_Signs,0,TN,0.0047
No_Signs_time(6)_fog(25)_rain(0)_273.jpg,No_Signs,0,TN,0.0052
No_Signs_time(5)_fog(25)_rain(15)_229.jpg,No_Signs,0,TN,0.0044
With_Signs_time(16)_fog(0)_rain(25)_73.jpg,With_Signs,1,TP,0.0055
With_Signs_time(8)_fog(0)_rain(0)_155.jpg,With_Signs,1,TP,0.0053
With_Signs_time(16)_fog(25)_rain(0)_88.jpg,With_Signs,0,FN,0.0050
No_Signs_time(8)_fog(25)_rain(15)_295.jpg,No_Signs,0,TN,0.0045
No_Signs_time(18)_fog(25)_rain(20)_20.jpg,No_Signs,0,TN,0.0046
With_Signs_time(16)_fog(0)_rain(25)_81.jpg,With_Signs,0,FN,0.0065
With_Signs_time(8)_fog(0)_rain(0)_154.jpg,With_Signs,0,FN,0.0046
With_Signs_time(16)_fog(0)_rain(0)_342.jpg,With_Signs,2,TP,0.0053
With_Signs_time(16)_fog(0)_rain(0)_340.jpg,With_Signs,1,TP,0.0050
No_Signs_time(13)_fog(75)_rain(0)_1.jpg,No_Signs,0,TN,0.0044
No_Signs_time(6)_fog(25)_rain(0)_255.jpg,No_Signs,0,TN,0.0049
No_Signs_time(8)_fog(25)_rain(15)_313.jpg,No_Signs,0,TN,0.0045
No_Signs_time(8)_fog(25)_rain(15)_299.jpg,No_Signs,0,TN,0.0055
No_Signs_time(8)_fog(25)_rain(15)_318.jpg,No_Signs,0,TN,0.0092
With_Signs_time(22)_fog(0)_rain(25)_137.jpg,With_Signs,0,FN,0.0049
With_Signs_time(22)_fog(0)_rain(0)_123.jpg,With_Signs,0,FN,0.0048
With_Signs_time(8)_fog(0)_rain(0)_146.jpg,With_Signs,0,FN,0.0047
With_Signs_time(22)_fog(0)_rain(0)_130.jpg,With_Signs,0,FN,0.0046
With_Signs_time(22)_fog(0)_rain(0)_131.jpg,With_Signs,0,FN,0.0090
No_Signs_time(9)_fog(25)_rain(0)_33.jpg,No_Signs,0,TN,0.0055
With_Signs_time(16)_fog(25)_rain(0)_96.jpg,With_Signs,2,TP,0.0049
No_Signs_time(8)_fog(25)_rain(15)_297.jpg,No_Signs,0,TN,0.0049
With_Signs_time(8)_fog(0)_rain(0)_160.jpg,With_Signs,0,FN,0.0043
